DeltaTime,fd,OpTyp,DeltaOffset,Size,Duration
0.000631377,0,R,0,1048576,8.7229e-05
9.1143e-05,1,W,0,1048576,0.000607037
0.000615116,0,R,0,1048576,8.0261e-05
8.3575e-05,1,W,0,1048576,0.000619784
0.00062835,0,R,0,1048576,8.7482e-05
9.1196e-05,1,W,0,1048576,0.000612343
0.000619508,0,R,0,1048576,8.0184e-05
8.3962e-05,1,W,0,1048576,0.000632176
0.000640173,0,R,0,1048576,8.0183e-05
8.3458e-05,1,W,0,1048576,0.000587194
0.000592168,0,R,0,1048576,8.0349e-05
8.3651e-05,1,W,0,1048576,0.000608362
0.000616198,0,R,0,1048576,8.0583e-05
8.4041e-05,1,W,0,1048576,0.000571633
0.000587438,0,R,0,1048576,8.0126e-05
8.3918e-05,1,W,0,1048576,0.000558707
0.000563597,0,R,0,1048576,8.0037e-05
8.3178e-05,1,W,0,1048576,0.000573218
0.000581318,0,R,0,1048576,8.9673e-05
9.3592e-05,1,W,0,1048576,0.000574634
0.000581451,0,R,0,1048576,9.0233e-05
9.5171e-05,1,W,0,1048576,0.000567371
0.000573453,0,R,0,1048576,8.0158e-05
8.3379e-05,1,W,0,1048576,0.000560506
0.000565537,0,R,0,1048576,8.0123e-05
8.3446e-05,1,W,0,1048576,0.000607899
0.000615486,0,R,0,1048576,8.0243e-05
8.3459e-05,1,W,0,1048576,0.000569779
0.000574837,0,R,0,1048576,8.8677e-05
9.3361e-05,1,W,0,1048576,0.000605414
0.000612526,0,R,0,1048576,8.0247e-05
8.3525e-05,1,W,0,1048576,0.000606223
0.000613717,0,R,0,1048576,8.7152e-05
9.0977e-05,1,W,0,1048576,0.00082954
0.000840983,0,R,0,1048576,8.735e-05
9.1307e-05,1,W,0,1048576,0.00081547
0.000853915,0,R,0,1048576,8.7761e-05
9.2444e-05,1,W,0,1048576,0.000690777
0.000699602,0,R,0,1048576,8.7468e-05
9.1783e-05,1,W,0,1048576,0.00847582
0.00851054,0,R,0,1048576,0.00012787
0.000134881,1,W,0,1048576,0.00105015
0.00107434,0,R,0,1048576,0.000127114
0.00013391,1,W,0,1048576,0.000901644
0.000921522,0,R,0,1048576,0.000113103
0.000119463,1,W,0,1048576,0.00105135
0.0010731,0,R,0,1048576,0.000124369
0.000149,1,W,0,1048576,0.00100491
0.0010283,0,R,0,1048576,0.000131185
0.000138351,1,W,0,1048576,0.000853898
0.000862572,0,R,0,1048576,0.00010497
0.000111212,1,W,0,1048576,0.000936796
0.000951442,0,R,0,1048576,0.000103528
0.000111144,1,W,0,1048576,0.000698703
0.000712059,0,R,0,1048576,9.5502e-05
0.000102272,1,W,0,1048576,0.000677417
0.00068631,0,R,0,1048576,8.7424e-05
9.1108e-05,1,W,0,1048576,0.000747838
0.000754652,0,R,0,1048576,8.6784e-05
9.0278e-05,1,W,0,1048576,0.000642644
0.000648214,0,R,0,1048576,8.6681e-05
9.0109e-05,1,W,0,1048576,0.000729876
0.00074164,0,R,0,1048576,0.000146574
0.000157287,1,W,0,1048576,0.00144302
0.00145625,0,R,0,1048576,0.000273974
0.000286956,1,W,0,1048576,0.00141591
0.00143005,0,R,0,1048576,0.000230729
0.000238405,1,W,0,1048576,0.000955235
0.000963287,0,R,0,1048576,8.0526e-05
8.4006e-05,1,W,0,1048576,0.000608139
0.000614122,0,R,0,1048576,8.0593e-05
8.3983e-05,1,W,0,1048576,0.000680185
0.000688898,0,R,0,1048576,8.0645e-05
8.4161e-05,1,W,0,1048576,0.000598106
0.000603092,0,R,0,1048576,8.0085e-05
8.3401e-05,1,W,0,1048576,0.000638341
0.000648264,0,R,0,1048576,8.0579e-05
8.4167e-05,1,W,0,1048576,0.000624318
0.000629471,0,R,0,1048576,8.0104e-05
8.3373e-05,1,W,0,1048576,0.000609723
0.000625858,0,R,0,1048576,8.0338e-05
8.4327e-05,1,W,0,1048576,0.000799807
0.00081569,0,R,0,1048576,9.5665e-05
0.000102792,1,W,0,1048576,0.000649183
0.00065695,0,R,0,1048576,8.6903e-05
9.129e-05,1,W,0,1048576,0.000614151
0.0006206,0,R,0,1048576,8.0319e-05
8.3775e-05,1,W,0,1048576,0.000768918
0.000779081,0,R,0,1048576,8.0557e-05
8.4641e-05,1,W,0,1048576,0.00062951
0.000636939,0,R,0,1048576,8.0956e-05
8.4201e-05,1,W,0,1048576,0.000675371
0.000684801,0,R,0,1048576,8.1158e-05
8.4424e-05,1,W,0,1048576,0.000616504
0.00062327,0,R,0,1048576,9.3359e-05
9.9079e-05,1,W,0,1048576,0.000629278
0.000637035,0,R,0,1048576,8.0438e-05
8.3713e-05,1,W,0,1048576,0.000701027
0.000709467,0,R,0,1048576,0.000109328
0.000114071,1,W,0,1048576,0.000632127
0.000637787,0,R,0,1048576,8.0091e-05
8.3273e-05,1,W,0,1048576,0.000749434
0.000758309,0,R,0,1048576,8.0629e-05
8.4241e-05,1,W,0,1048576,0.000629338
0.000634898,0,R,0,1048576,8.012e-05
8.3364e-05,1,W,0,1048576,0.000617944
0.000622936,0,R,0,1048576,8.0228e-05
8.3376e-05,1,W,0,1048576,0.000687809
0.000696004,0,R,0,1048576,8.0749e-05
8.4122e-05,1,W,0,1048576,0.000691411
0.000701779,0,R,0,1048576,8.7701e-05
9.1487e-05,1,W,0,1048576,0.000789036
0.000796819,0,R,0,1048576,8.7487e-05
0.000106519,1,W,0,1048576,0.000693875
0.000701946,0,R,0,1048576,8.7564e-05
9.1498e-05,1,W,0,1048576,0.000658225
0.000666311,0,R,0,1048576,8.7287e-05
9.1003e-05,1,W,0,1048576,0.000716357
0.000730053,0,R,0,1048576,8.8651e-05
9.2914e-05,1,W,0,1048576,0.000680662
0.000690746,0,R,0,1048576,8.8433e-05
9.2546e-05,1,W,0,1048576,0.000718519
0.000730237,0,R,0,1048576,8.8065e-05
9.1917e-05,1,W,0,1048576,0.000672569
0.000682892,0,R,0,1048576,8.8045e-05
9.2033e-05,1,W,0,1048576,0.000684133
0.000694107,0,R,0,1048576,0.000185741
0.000191226,1,W,0,1048576,0.000646166
0.000655395,0,R,0,1048576,8.7298e-05
9.0974e-05,1,W,0,1048576,0.000663258
0.0006705,0,R,0,1048576,8.6987e-05
9.0747e-05,1,W,0,1048576,0.000721619
0.000733835,0,R,0,1048576,8.778e-05
9.1569e-05,1,W,0,1048576,0.000687734
0.000695217,0,R,0,1048576,8.7787e-05
9.2013e-05,1,W,0,1048576,0.000744285
0.000752068,0,R,0,1048576,8.7389e-05
9.1003e-05,1,W,0,1048576,0.00100114
0.00101787,0,R,0,1048576,0.000120747
0.000126688,1,W,0,1048576,0.000882478
0.000894738,0,R,0,1048576,0.000107625
0.00011357,1,W,0,1048576,0.000863221
0.000877211,0,R,0,1048576,0.000101679
0.000107647,1,W,0,1048576,0.000890962
0.000900972,0,R,0,1048576,0.000106569
0.000112401,1,W,0,1048576,0.000918276
0.000944935,0,R,0,1048576,0.00010724
0.00011393,1,W,0,1048576,0.000944794
0.000960576,0,R,0,1048576,0.000106103
0.000112529,1,W,0,1048576,0.0252923
0.0253287,0,R,0,1048576,0.00012566
0.000133181,1,W,0,1048576,0.00116394
0.00118499,0,R,0,1048576,0.000120044
0.000126658,1,W,0,1048576,0.00101954
0.00104183,0,R,0,1048576,0.000231859
0.000241138,1,W,0,1048576,0.00143686
0.00145122,0,R,0,1048576,0.000231749
0.000239852,1,W,0,1048576,0.00145846
0.00148181,0,R,0,1048576,0.000190487
0.000197502,1,W,0,1048576,0.00123146
0.00124702,0,R,0,1048576,0.00020951
0.000220376,1,W,0,1048576,0.00122371
0.00124299,0,R,0,1048576,0.000190278
0.000197623,1,W,0,1048576,0.00130119
0.00132514,0,R,0,1048576,0.000231407
0.000239718,1,W,0,1048576,0.0014124
0.0014296,0,R,0,1048576,0.000230926
0.000238939,1,W,0,1048576,0.00129439
0.00130683,0,R,0,1048576,8.793e-05
9.1824e-05,1,W,0,1048576,0.000623278
0.000631347,0,R,0,1048576,8.0287e-05
8.3697e-05,1,W,0,1048576,0.000653683
0.000663536,0,R,0,1048576,8.0217e-05
8.4182e-05,1,W,0,1048576,0.000603586
0.000609296,0,R,0,1048576,8.0033e-05
8.3282e-05,1,W,0,1048576,0.000609585
0.000615057,0,R,0,1048576,8.0076e-05
8.3352e-05,1,W,0,1048576,0.000657103
0.000667678,0,R,0,1048576,8.8635e-05
0.000125514,1,W,0,1048576,0.000692418
0.000700075,0,R,0,1048576,8.8268e-05
9.2042e-05,1,W,0,1048576,0.000684081
